OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW,MARKET_RUN_ID,GROUP
11/1/2018,11,0,2018-11-01T17:00:00-00:00,2018-11-01T18:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,185.19987,ACTUAL,2
11/1/2018,10,0,2018-11-01T16:00:00-00:00,2018-11-01T17:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,137.73267,ACTUAL,2
11/1/2018,9,0,2018-11-01T15:00:00-00:00,2018-11-01T16:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,144.58909,ACTUAL,2
11/1/2018,8,0,2018-11-01T14:00:00-00:00,2018-11-01T15:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,141.92775,ACTUAL,2
11/1/2018,7,0,2018-11-01T13:00:00-00:00,2018-11-01T14:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,176.82864,ACTUAL,2
11/1/2018,6,0,2018-11-01T12:00:00-00:00,2018-11-01T13:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,214.34503,ACTUAL,2
11/1/2018,5,0,2018-11-01T11:00:00-00:00,2018-11-01T12:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,181.64254,ACTUAL,2
11/1/2018,4,0,2018-11-01T10:00:00-00:00,2018-11-01T11:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,271.51257,ACTUAL,2
11/1/2018,3,0,2018-11-01T09:00:00-00:00,2018-11-01T10:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,392.44569,ACTUAL,2
11/1/2018,2,0,2018-11-01T08:00:00-00:00,2018-11-01T09:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,444.15895,ACTUAL,2
11/1/2018,1,0,2018-11-01T07:00:00-00:00,2018-11-01T08:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,524.51329,ACTUAL,2
11/1/2018,24,0,2018-11-02T06:00:00-00:00,2018-11-02T07:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,15.44711,ACTUAL,2
11/1/2018,23,0,2018-11-02T05:00:00-00:00,2018-11-02T06:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,12.2051,ACTUAL,2
11/1/2018,22,0,2018-11-02T04:00:00-00:00,2018-11-02T05:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,-0.35684,ACTUAL,2
11/1/2018,21,0,2018-11-02T03:00:00-00:00,2018-11-02T04:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,2.31718,ACTUAL,2
11/1/2018,20,0,2018-11-02T02:00:00-00:00,2018-11-02T03:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,5.40649,ACTUAL,2
11/1/2018,19,0,2018-11-02T01:00:00-00:00,2018-11-02T02:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,5.84277,ACTUAL,2
11/1/2018,18,0,2018-11-02T00:00:00-00:00,2018-11-02T01:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,8.19746,ACTUAL,2
11/1/2018,17,0,2018-11-01T23:00:00-00:00,2018-11-02T00:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,6.13823,ACTUAL,2
11/1/2018,16,0,2018-11-01T22:00:00-00:00,2018-11-01T23:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,17.47922,ACTUAL,2
11/1/2018,15,0,2018-11-01T21:00:00-00:00,2018-11-01T22:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,37.29229,ACTUAL,2
11/1/2018,13,0,2018-11-01T19:00:00-00:00,2018-11-01T20:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,125.61579,ACTUAL,2
11/1/2018,14,0,2018-11-01T20:00:00-00:00,2018-11-01T21:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,53.4577,ACTUAL,2
11/1/2018,13,0,2018-11-01T19:00:00-00:00,2018-11-01T20:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,4583.31249,ACTUAL,3
11/1/2018,15,0,2018-11-01T21:00:00-00:00,2018-11-01T22:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,4174.39433,ACTUAL,3
11/1/2018,12,0,2018-11-01T18:00:00-00:00,2018-11-01T19:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,4780.60837,ACTUAL,3
11/1/2018,19,0,2018-11-02T01:00:00-00:00,2018-11-02T02:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,18.27922,ACTUAL,3
11/1/2018,11,0,2018-11-01T17:00:00-00:00,2018-11-01T18:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,4988.39101,ACTUAL,3
11/1/2018,24,0,2018-11-02T06:00:00-00:00,2018-11-02T07:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,0.70277,ACTUAL,3
